s/d,stress(rol=0),dilation(rol=0),rotation(rol=0),stress(rol=0.0025),dilation(rol=0.0025),rotation(rol=0.0025),stress(rol=0.1),dilation(rol=0.1),rotation(rol=0.1)
0.0930915,52.083132,0.121017,1164.9,52.829565,0.12077,96.6499,65.901402,0.119526,28.5512
0.09548825,50.451929,0.123394,1191.44,51.526363,0.123169,98.4567,65.275649,0.121788,29.2895
0.098047,49.802209,0.125904,1219.73,50.665276,0.12574,101.124,64.434601,0.124176,30.132
0.10080575,49.71409,0.128574,1251.75,49.937251,0.128201,104.222,63.422226,0.126972,30.8733
0.103388,48.803498,0.130913,1282.4,49.44057,0.130707,107.248,62.396074,0.129501,31.293
0.10577325,47.297251,0.133125,1309.4,49.2568,0.132778,109.391,61.67606,0.131741,31.7567
0.10831675,46.818742,0.135475,1340.1,49.040202,0.135113,111.94,61.071049,0.134144,32.2674
0.1108555,46.391594,0.137779,1371.97,48.554779,0.137321,115.154,60.759466,0.136444,32.9515
0.1137105,45.226417,0.140244,1406.74,47.252776,0.139828,118.083,60.485018,0.138729,33.4186
0.1162445,44.852211,0.142399,1439.51,46.044307,0.142124,120.526,59.72752,0.140842,33.939
0.1185845,43.852367,0.144321,1468.22,45.363757,0.144089,122.974,58.841684,0.142647,34.3835
0.121169,42.912095,0.146378,1499.85,44.4467,0.146187,125.44,57.822108,0.144783,34.7798
0.1237075,42.489468,0.148415,1531.44,43.567683,0.148235,127.902,56.692669,0.146915,35.2516
0.126495,42.075766,0.150658,1566.34,43.353967,0.150288,131.177,55.599271,0.149303,35.9176
0.12906,41.357025,0.152603,1598.41,43.167272,0.152279,134.189,54.897118,0.151386,36.5138
0.1313725,40.662228,0.154358,1626.77,43.2077,0.154011,136.543,54.600384,0.153152,36.8425
0.13385775,40.83499,0.156109,1659.17,43.046416,0.155869,139.145,54.517423,0.154881,37.4423
0.13637175,40.684821,0.157948,1690.87,43.154487,0.157619,142.226,54.014155,0.156605,37.956
0.1392195,39.594382,0.160019,1725.03,42.356066,0.159657,144.975,52.922288,0.158504,38.4886
0.14175625,39.189162,0.161877,1756.09,41.860759,0.161449,147.662,51.771927,0.160282,39.0649
0.14409,38.257343,0.163536,1784.3,41.42625,0.163097,150.282,50.735222,0.161945,39.4675
0.14670275,36.998531,0.165207,1814.95,39.877169,0.164822,153.199,49.647275,0.163776,39.7368
0.14928025,36.134927,0.166924,1845.54,38.330151,0.166439,156.108,48.870942,0.165569,40.2787
0.15214375,34.866628,0.168774,1878.47,37.036343,0.168224,158.815,48.372178,0.16737,40.5974
0.154736,33.837243,0.170307,1907.4,36.187233,0.169773,161.859,48.41,0.168854,41.228
0.1572565,33.612874,0.171806,1936.48,35.695536,0.171291,164.893,48.303148,0.170288,41.7973
0.15952875,33.370002,0.173138,1963.34,35.776205,0.17268,167.386,47.539335,0.171551,42.1253
0.16203925,33.255163,0.174622,1993.51,35.832557,0.174068,170.405,46.188869,0.172951,42.7784
0.16459725,32.610305,0.175922,2024.15,35.651056,0.175461,173.246,45.346844,0.174385,43.1399
0.1674115,31.895358,0.177437,2057.18,35.206177,0.176865,177.076,44.341459,0.176003,43.506
0.1699335,31.652128,0.178585,2088.22,33.89539,0.178299,180.381,43.511387,0.177444,43.8886
0.1722495,30.917101,0.179718,2117.02,32.857342,0.179413,183.471,43.042697,0.17868,44.4387
0.174836,29.949813,0.180977,2148.71,31.65712,0.18058,187.194,42.827988,0.179951,45.065
0.1773985,29.25102,0.182098,2179.19,29.994732,0.181816,190.509,42.896053,0.181026,45.7501
0.18024125,28.212792,0.183384,2213.14,29.060878,0.183125,194.101,41.844517,0.182129,46.2488
0.18281025,27.443846,0.184521,2244.21,28.370902,0.184254,197.197,41.074748,0.183201,46.9703
0.18507075,27.328117,0.185406,2270.62,27.822411,0.185223,200.045,40.136825,0.1842,47.5013
