xCoord,yCoord,zCoord,Deformation
-28.0912,4.03824,49.534,-0.0607756
-7.30599,25.6709,6.29005,0.0128385
23.1889,-14.9505,41.0481,0.015702
18.7718,20.6652,41.0566,0.0127792
4.93128,-25.7791,73.5638,0.139422
-26.3057,2.03148,86.7308,0.0356691
27.6872,-3.18682,86.2651,-0.0661032
-7.13819,25.543,55.6086,0.152363
-5.02011,-26.0266,82.7921,-0.0212166
27.6104,5.21307,49.5935,0.180424
23.6328,-12.373,30.4637,0.0812097
-2.27482,-26.1141,12.9035,0.0706401
11.1223,-24.6612,75.8956,0.0745745
25.171,-9.57846,75.8453,0.111282
-17.2726,-21.6114,43.0221,0.0727789
24.4565,11.673,24.2859,0.0376575
26.2712,7.47772,4.6651,-0.00326812
-21.2592,15.7795,92.0294,0.0455141
26.9596,-6.24403,84.7952,-0.0663466
-27.9389,0.129517,86.3743,0.0375237
14.0897,-22.9568,14.6098,0.0713277
25.4153,-12.8074,57.9269,-0.011662
0.912508,27.7377,45.1995,-0.0117171
-27.2917,-3.96405,18.4914,-0.0548706
25.3473,9.77232,23.5413,0.117267
-1.72709,-26.5288,28.9077,-0.0135956
-5.43147,26.3427,41.5946,0.0803792
-22.5663,15.4825,72.6431,0.0855923
17.7601,-20.0983,55.2906,-0.032725
-3.97621,26.8387,14.0055,0.0243988
4.69833,-24.8055,96.6642,-0.00538754
27.1918,4.38977,84.1954,-0.0328953
-27.4038,2.89903,4.38177,-0.0948422
-20.0935,19.7267,39.8558,-0.0122122
5.40236,-26.7894,65.2763,-0.00488043
26.7316,7.99372,24.2121,0.0284529
-26.9619,-9.52133,65.2155,-0.00850821
8.47536,-25.898,10.5734,-0.0648971
-5.28849,26.9476,56.9496,0.0800798
-25.6665,-10.7594,38.3214,-0.0582596
13.7303,-22.4964,90.6664,-0.00987983
8.02388,-24.1296,-0.410664,-0.00202584
-21.663,15.6758,6.32544,0.00803947
-5.31136,-26.4691,44.64,-0.00107527
-26.5125,-5.95166,17.9367,0.0910715
27.4827,-4.61983,20.9251,-0.0341098
20.6169,14.5334,96.1289,0.00668764
-13.635,22.8938,22.3379,0.122071
-2.17207,-26.4054,90.9834,-0.0558879
-7.53295,24.0632,97.4647,0.00256693
4.59588,-26.4197,46.607,-0.0497085
5.5039,-24.3683,103.466,-0.0373601
8.42951,23.6604,-0.30176,-0.0279101
-3.17189,27.7823,53.0979,0.159111
23.4393,-4.05006,103.492,0.0163996
-7.00708,26.9734,21.7251,-0.0275565
-5.80382,26.9535,27.3353,-0.00414634
-21.9039,-12.5899,-4.87048,0.000124216
-27.1474,-9.718,58.906,0.0590961
-27.2273,6.00554,80.4758,0.0706034
18.1137,20.7227,18.0522,0.168126
27.0943,-8.72831,13.2794,0.0386388
-3.64071,-26.5821,71.5293,-0.00393438
12.0227,-24.2654,77.3501,-0.0590351
16.1006,21.1267,71.8042,-0.0733042
-27.848,-1.22777,55.2248,-0.00826001
1.19577,27.127,13.289,-0.00661182
5.11064,-25.5545,92.3758,-0.054492
25.8797,8.73293,74.2952,0.14413
-27.3062,1.71597,39.6181,-0.018114
-23.8981,-9.87428,4.18507,0.0526438
10.9325,24.4994,33.5282,-0.0190198
-15.9607,-22.6088,68.2712,0.182202
-4.1205,25.7834,3.26794,0.0589311
